# f, real(s11), imag(s11), real(s21), imag(s21), real(s22), imag(s22)
5.041503905999999802e+01 -5.933623276888642939e-03 6.980192703101753549e-03 8.277279755843592879e-01 -5.426235760845677936e-01 1.858375295375187808e-02 8.158317514487352026e-05
5.042114258000000149e+01 -5.932832970161221187e-03 6.980474482845548667e-03 8.276895468714806636e-01 -5.426807108136290081e-01 1.858423715390707109e-02 8.107235548507731385e-05
5.042724608999999703e+01 -5.932042684684037115e-03 6.980756190159691232e-03 8.276511143067456500e-01 -5.427378425157191044e-01 1.858472130879831874e-02 8.056144038983640426e-05
5.043334961000000050e+01 -5.931252417843813074e-03 6.981037825938465891e-03 8.276126777645511634e-01 -5.427949713781858865e-01 1.858520542002610465e-02 8.005042819577779314e-05
5.043945312000000314e+01 -5.930462172206427129e-03 6.981319389229967420e-03 8.275742373711784117e-01 -5.428520972139670997e-01 1.858568948601724280e-02 7.953932058821179193e-05
5.044555663999999950e+01 -5.929671945158823676e-03 6.981600880928036379e-03 8.275357930009992202e-01 -5.429092202103915632e-01 1.858617350837113436e-02 7.902811590316822371e-05
5.045166016000000297e+01 -5.928881737972117871e-03 6.981882300542537056e-03 8.274973447173228358e-01 -5.429663402739980382e-01 1.858665748630787540e-02 7.851681498882798899e-05
5.045776366999999851e+01 -5.928091551917404056e-03 6.982163647583777832e-03 8.274588925834850395e-01 -5.430234573113451590e-01 1.858714141904754813e-02 7.800541869398824879e-05
5.046386719000000198e+01 -5.927301384381869487e-03 6.982444922945037213e-03 8.274204364738175776e-01 -5.430805715097298814e-01 1.858762530818923453e-02 7.749392535381103078e-05
5.046997069999999752e+01 -5.926511237931253451e-03 6.982726125675992046e-03 8.273819765146649408e-01 -5.431376826821370241e-01 1.858810915215977633e-02 7.698233665524205696e-05
5.047607422000000099e+01 -5.925721109953013821e-03 6.983007256669511442e-03 8.273435125803331180e-01 -5.431947910158445580e-01 1.858859295255758937e-02 7.647065093282839551e-05
5.048217772999999653e+01 -5.924931003012681718e-03 6.983288314975938382e-03 8.273050447971914689e-01 -5.432518963238535115e-01 1.858907670781007049e-02 7.595886987418103489e-05
5.048828125000000000e+01 -5.924140914497957877e-03 6.983569301487711767e-03 8.272665730395204475e-01 -5.433089987934213161e-01 1.858956041951467797e-02 7.544699181325767098e-05
5.049438477000000347e+01 -5.923350845680012966e-03 6.983850215715833865e-03 8.272280973706732654e-01 -5.433660983311172643e-01 1.859004408689142462e-02 7.493501759943139301e-05
5.050048827999999901e+01 -5.922560797829913570e-03 6.984131057172042467e-03 8.271896178540283362e-01 -5.434231948435315207e-01 1.859052770916032327e-02 7.442294808274836290e-05
5.050659180000000248e+01 -5.921770768335533897e-03 6.984411826748110341e-03 8.271511343638269231e-01 -5.434802885178896537e-01 1.859101128791806889e-02 7.391078159625901617e-05
5.051269530999999802e+01 -5.920980759762370371e-03 6.984692523495823757e-03 8.271126470265015573e-01 -5.435373791672394317e-01 1.859149482159278000e-02 7.339851982924227788e-05
5.051879883000000149e+01 -5.920190769498553940e-03 6.984973148306802826e-03 8.270741557162666346e-01 -5.435944669787896588e-01 1.859197831178024951e-02 7.288616111411757789e-05
5.052490233999999703e+01 -5.919400800109532457e-03 6.985253700233416685e-03 8.270356605595812205e-01 -5.436515517656029806e-01 1.859246175690856817e-02 7.237370714085556225e-05
5.053100586000000050e+01 -5.918610848983534012e-03 6.985534180166737273e-03 8.269971614306326213e-01 -5.437086337148689941e-01 1.859294515857361219e-02 7.186115624132575347e-05
5.053710937999999686e+01 -5.917820917391798663e-03 6.985814587619210148e-03 8.269586583928185686e-01 -5.437657127331864126e-01 1.859342851599492252e-02 7.134850926606957702e-05
5.054321288999999950e+01 -5.917031006605302790e-03 6.986094922103378013e-03 8.269201515095608856e-01 -5.438227887271739336e-01 1.859391182839223444e-02 7.083576706638783360e-05
5.054931641000000297e+01 -5.916241114012787961e-03 6.986375184510090763e-03 8.268816406550092424e-01 -5.438798618839878474e-01 1.859439509736121598e-02 7.032292797319508043e-05
5.055541991999999851e+01 -5.915451242179445290e-03 6.986655373893049803e-03 8.268431259556847657e-01 -5.439369320167410926e-01 1.859487832132918073e-02 6.980999367814247694e-05
5.056152344000000198e+01 -5.914661388494030225e-03 6.986935491142542975e-03 8.268046072857109241e-01 -5.439939993125678663e-01 1.859536150189125547e-02 6.929696251155564174e-05
5.056762694999999752e+01 -5.913871555521754697e-03 6.987215535313048842e-03 8.267660847716340466e-01 -5.440510635846000920e-01 1.859584463747519789e-02 6.878383616568204545e-05
5.057373047000000099e+01 -5.913081740651721097e-03 6.987495507294369523e-03 8.267275582875515116e-01 -5.441081250199514274e-01 1.859632772967496905e-02 6.827061297028005210e-05
