# f, real(s11_LNA), imag(s11_LNA), C1, C2, TU, TC, TS, real(s11_ant), imag(s11_ant), Gconn, Gbalun, Gground
7.241821289000000661e+01 5.253700000000000470e-04 1.395057000000000068e-02 4.319248230000000355e+00 -1.485523530000000036e+00 1.837685174599999982e+02 -9.141263379999999827e+00 9.681714360000000852e+00 -7.296102320934523544e-02 1.862152916817969572e-01 9.988575157100463286e-01 9.954795737861520388e-01 9.978736904627744098e-01
7.242431641000000297e+01 5.246499999999999862e-04 1.394960999999999944e-02 4.319101550000000067e+00 -1.485514589999999968e+00 1.837677266499999860e+02 -9.141748670000000132e+00 9.684032950000000639e+00 -7.279181869511043568e-02 1.862821865322361048e-01 9.988577752598438719e-01 9.954791034900406510e-01 9.978738768972466033e-01
7.243041992000000562e+01 5.239300000000000337e-04 1.394864000000000000e-02 4.318954889999999658e+00 -1.485505649999999900e+00 1.837669360099999949e+02 -9.142235030000000151e+00 9.686351180000000838e+00 -7.262256150094494045e-02 1.863489158466771212e-01 9.988580349554783133e-01 9.954786337379459837e-01 9.978740632332329108e-01
7.243652344000000198e+01 5.232099999999999728e-04 1.394768000000000049e-02 4.318808259999999954e+00 -1.485496699999999892e+00 1.837661455399999966e+02 -9.142722479999999763e+00 9.688669049999999672e+00 -7.245325122796157646e-02 1.864154798222498466e-01 9.988582947975235271e-01 9.954781645283317104e-01 9.978742494713646050e-01
7.244262695000000463e+01 5.224900000000000204e-04 1.394671999999999926e-02 4.318661650000000130e+00 -1.485487760000000046e+00 1.837653552300000115e+02 -9.143211000000000865e+00 9.690986560000000694e+00 -7.228388858667030015e-02 1.864818782194365143e-01 9.988585547848464197e-01 9.954776958627317152e-01 9.978744356110471614e-01
7.244873047000000099e+01 5.217699999999999595e-04 1.394574999999999981e-02 4.318515070000000122e+00 -1.485478810000000038e+00 1.837645650999999987e+02 -9.143700589999999906e+00 9.693303710000000351e+00 -7.211447317780282640e-02 1.865481112345369619e-01 9.988588149180215314e-01 9.954772277396125579e-01 9.978746216529097435e-01
7.245483398000000363e+01 5.210500000000000071e-04 1.394479000000000031e-02 4.318368509999999993e+00 -1.485469860000000031e+00 1.837637751199999911e+02 -9.144191270000000316e+00 9.695620500000000419e+00 -7.194500571217682383e-02 1.866141786293723515e-01 9.988590751959145475e-01 9.954767601605049032e-01 9.978748075963599362e-01
7.246093750000000000e+01 5.203299999999999462e-04 1.394383000000000081e-02 4.318221969999999743e+00 -1.485460910000000023e+00 1.837629853200000127e+02 -9.144683020000000440e+00 9.697936929999999123e+00 -7.177548579014265961e-02 1.866800805994127122e-01 9.988593356190992312e-01 9.954762931238780865e-01 9.978749934420263479e-01
7.246704101999999637e+01 5.196099999999999938e-04 1.394286999999999957e-02 4.318075460000000199e+00 -1.485451960000000016e+00 1.837621956899999986e+02 -9.145175840000000278e+00 9.700253000000000014e+00 -7.160591384495505751e-02 1.867458170153849240e-01 9.988595961868688144e-01 9.954758266304944980e-01 9.978751791896209866e-01
7.247314452999999901e+01 5.188900000000000413e-04 1.394191000000000007e-02 4.317928969999999644e+00 -1.485443010000000008e+00 1.837614062199999978e+02 -9.145669740000000658e+00 9.702568709999999541e+00 -7.143629031019217701e-02 1.868113877492277863e-01 9.988598568985185278e-01 9.954753606811174160e-01 9.978753648388567488e-01
